id,paper_id,primers,longitude,latitude,continent,sample_type,ITS1_extracted,ITS2_extracted,ITS_total,Biome,MAT,MAP,pH,year_start,year_end,year_of_sampling,manipulated
6,Li_2021_mDU,fITS9/ITS4,-89.35,43.1333,North America,soil,0,168459,168459,grassland,8.7,775,6.35,2015,2015,2015,FALSE
13,Anthony_2017_647F,fITS7/ITS4,-71.3318,42.4094,North America,soil,0,178186,178186,forest,10.1,1279,5.4,2013,2013,2013,FALSE
18,Sukdeo_2018_1DF4,ITS86F/ITS4,-123.267,54.3333,North America,soil,0,205499,205499,forest,3.6,670,4.9,2015,2015,2015,FALSE
26,Farrer_2019_50DE,ITS1F/ITS2,-105.636,40.052,North America,soil,35738,0,35738,tundra,-3.3,735,5.35,2015,2015,2015,FALSE
27,Gravuer_2020_mCY,ITS1F/ITS3,-122.427,38.872,North America,soil,93540,0,93540,grassland,12.7,872,6.9,2013,2013,2013,TRUE
44,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,189812,0,189812,cropland,7.6,982,6.8,2017,2017,2017,FALSE
55,Truong_2019_add,ITS1F/ITS2,-67.2473,-54.6102,South America,soil,74007,0,74007,forest,4.6,646,4.54,2015,2015,2015,FALSE
76,Ettinger_2019_dc38,5.8S_Fun/ITS4_Fun,-123.054,38.32,Pacific Ocean,root,0,50531,50531,aquatic,14.9,1061,6.33,2016,2016,2016,FALSE
83,Gannes_2016_5E98,ITS1F/ITS4,-61.1,10.48,South America,soil,76500,8860,85360,forest,26.4,2361,5.2,2015,2015,2015,FALSE
94,Veach_2018_TD,ITS1F/ITS4,-83.434,35.049,North America,soil,33,77947,77980,forest,11.9,1550,4.2,2013,2013,2013,FALSE
95,Pellitier_2019_82BC,5.8S_Fun/ITS4_Fun,-85.97,44.28,North America,shoot,0,856566,856566,forest,7.8,803,4.626564576,2016,2016,2016,FALSE
98,Singh_2019_EA7F,ITS1/ITS4,-77.0919,43.125,North America,rhizosphere soil,57967,82778,140745,cropland,9.1,917,6.8,0,0,NA_,FALSE
108,Duan_2018_DJ,ITS1F/ITS4,-76.6707,34.7181,North America,water,57082,0,57082,aquatic,18.8,1397,8.02,2011,2011,2011,FALSE
113,Anthony_2017_647F,fITS7/ITS4,-73.956,41.3915,North America,soil,0,133378,133378,forest,11.7,909,4.8,2013,2013,2013,FALSE
117,Duan_2018_DJ,ITS1F/ITS4,-76.6707,34.7181,North America,water,55754,0,55754,aquatic,18.8,1397,7.9,2012,2012,2012,FALSE
138,Lagueux_2021_mCK,fITS7/ITS4,-106.623,34.3421,North America,root,0,21232,21232,grassland,14.2,308,7.94,2015,2015,2015,TRUE
142,Li_2021_mDU,fITS9/ITS4,-85.37,42.38,North America,soil,0,178845,178845,grassland,9.2,881,4.93,2015,2015,2015,TRUE
159,DelgadoBaquerizo_2017_BB88,fITS7/ITS4,-99.6556,22.2465,North America,soil,0,83080,83080,shrubland,19.2,557,8.137678554,2009,2009,2009,FALSE
179,Li_2021_mDU,fITS9/ITS4,-89.35,43.1333,North America,soil,0,174543,174543,grassland,8.7,775,6.03,2015,2015,2015,TRUE
181,Whitman_2019_8E28,5.8S_Fun/ITS4_Fun,-113.141,62.5345,North America,soil,0,42803,42803,forest,-4.8,300,5.13,2015,2015,2015,FALSE
194,Yergeau_2020_mDJ,ITS1F/58A2R,-73.5706,45.183,North America,soil,32348,0,32348,cropland,7.6,982,6.8,2017,2017,2017,TRUE
200,Araya_2019_add,fITS9/ITS4,-70.8394,-27.4676,South America,soil,0,196737,196737,desert,16.8,26,9.24,2015,2015,2015,FALSE
201,Araya_2019_add,fITS9/ITS4,-70.8394,-27.4676,South America,soil,0,196737,196737,desert,16.8,26,9.24,2015,2015,2015,FALSE
203,Gannes_2016_5E98,ITS1F/ITS4,-61.29,10.38,South America,soil,89724,13493,103217,forest,26.3,2165,5,2015,2015,2015,FALSE
208,Li_2021_mDU,fITS9/ITS4,-89.35,43.1333,North America,soil,0,213425,213425,grassland,8.7,775,4.93,2015,2015,2015,TRUE
210,Sukdeo_2018_1DF4,ITS86F/ITS4,-123.267,54.3333,North America,soil,0,430589,430589,forest,3.6,670,4.94,2015,2015,2015,FALSE
215,Li_2021_mDU,fITS9/ITS4,-85.37,42.38,North America,soil,0,190636,190636,grassland,9.2,881,4.93,2015,2015,2015,TRUE
