id,paper_id,primers,longitude,latitude,continent,sample_type,its1_extracted,its2_extracted,its_total,biome,mat,map,ph,year_of_start,year_of_end,abundances
59,Mikryukov_2021_SP,fITS7/ITS4,59.863,56.848,Asia,litter,0,86693,86693,forest,1.6,512,4.825,2017,2017,1
214,Franzetti_2020_GF,ITS1F/ITS2,10.5849,46.4053,Europe,soil,1523116,0,1523116,tundra,-1.5,960,6.05,2015,2015,4
341,Montagna_2018_E316,ITS1F/ITS4,9.63358,46.0914,Europe,soil,336951,47454,384405,grassland,1.8,1864,3.8,2014,2014,2
479,Merges_2018_DD53,ITS3_KYO2/ITS4_KYO3,9.85182,46.7337,Europe,soil,0,18525,18525,forest,0.8,1044,3.9,2015,2015,6
575,Bissett_AAAA_2016,ITS1F/ITS4,146.671,-42.6793,Australia,soil,138038,25599,163637,forest,8.5,687,4.6,2013,2013,4
723,Abrego_2020_CV,ITS_S2F + ITS3 mixed 1:1/ITS4,24.95,60.1724,Europe,air,0,167338,167338,anthropogenic,5.6,633,NA_,2019,2019,20
772,Bissett_AAAA_2016,ITS1F/ITS4,148.783,-35.4238,Australia,soil,172772,13343,186115,forest,8.7,1283,5.7,2013,2013,4
1076,Mikryukov_2021_SP,fITS7/ITS4,59.863,56.848,Asia,litter,0,21538,21538,forest,1.6,512,4.98,2017,2017,4
1141,Bissett_AAAA_2016,ITS1F/ITS4,148.797,-35.4239,Australia,soil,153361,41360,194721,forest,9.2,1221,5.7,2013,2013,618
1149,Schutte_2019_CC10,gITS7/NLC2mod,-148.28,64.71,North America,soil,0,291285,291285,forest,-0.9,332,NA_,2012,2012,1
1609,PradaSalcedo_2021_GT,fITS7/ITS4,23.88,52.86,Europe,soil,0,51693,51693,forest,7.3,617,3.8,2017,2017,2
1629,Schutte_2019_CC10,gITS7/NLC2mod,-148.28,64.71,North America,soil,0,258280,258280,forest,-0.9,332,NA_,2012,2012,4
1973,Bissett_AAAA_2016,ITS1F/ITS4,148.797,-35.4239,Australia,soil,42543,34849,77392,forest,9.2,1221,5.5,2013,2013,4
2005,Abrego_2020_CV,ITS_S2F + ITS3 mixed 1:1/ITS4,25.7346,62.1444,Europe,air,0,148042,148042,forest,3.7,673,NA_,2019,2019,8
2113,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.82,58.4639,Europe,soil,4806,4671,9477,forest,5.6,604,NA_,2016,2016,1
2389,Egidi_AD_2019,fITS7/ITS4,-96.81,40.87,North America,soil,0,1870615,1870615,grassland,11,765,7.2,2003,2015,2
2420,Bissett_AAAA_2016,ITS1F/ITS4,148.797,-35.4232,Australia,soil,484053,119347,603400,forest,9.2,1221,5.5,2013,2013,5
2428,Siles_2016_6850,ITS1F/ITS2,11.4507,46.5893,Europe,soil,72727,0,72727,forest,2.6,1050,4.13,2014,2014,1
2936,Boeraeve_2018_17A7,ITS1F/ITS2,4.963,50.903,Europe,root,81512,0,81512,forest,10.4,749,4.1,2016,2016,1
3064,Yang_2020_addH,ITS3/ITS4,122.086,50.9454,Asia,soil,0,30956,30956,forest,-2.7,394,5.4,2017,2017,3
3192,Glassman_2017_E29A,ITS1F/ITS2,-119.275,37.9176,North America,soil,45204,0,45204,forest,1.5,741,4.2,2012,2012,1
3279,Bissett_AAAA_2016,ITS1F/ITS4,148.797,-35.4235,Australia,soil,153171,63240,216411,forest,9.2,1221,5.6,2013,2013,1
3291,Montagna_2018_E316,ITS1F/ITS4,9.63818,46.0945,Europe,soil,665035,80896,745931,grassland,2.9,1812,4.2,2014,2014,2
3346,Schutte_2019_CC10,gITS7/NLC2mod,-148.28,64.71,North America,soil,0,301701,301701,forest,-0.9,332,NA_,2012,2012,1
3478,Bissett_AAAA_2016,ITS1F/ITS4,148.798,-35.4239,Australia,soil,79138,16124,95262,forest,9.2,1221,5.3,2013,2013,27
3601,Mikryukov_2021_SP,fITS7/ITS4,59.425,56.801,Asia,litter,0,64883,64883,forest,1.7,556,5.8,2017,2017,70
3766,Bissett_AAAA_2016,ITS1F/ITS4,148.796,-35.4226,Australia,soil,93079,11203,104282,forest,9.2,1221,5.4,2013,2013,5
3820,Odriozola_2020_GA,gITS7/ITS4,16.7671,49.3253,Europe,root,0,9031,9031,forest,8,607,NA_,2014,2014,1
3825,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,27.475,57.7605,Europe,soil,7007,6135,13142,forest,5.5,614,NA_,2015,2015,4
3826,Odriozola_2020_GA,gITS7/ITS4,16.7739,49.3186,Europe,rhizosphere soil,0,8317,8317,forest,7.6,659,5.05,2014,2014,26
3827,Merges_2018_DD53,ITS3_KYO2/ITS4_KYO3,9.90542,46.8023,Europe,soil,0,18203,18203,forest,1.2,1118,4.15,2015,2015,87
3828,Dahl_2019_TG,gITS7/ITS4,11.06,47.44,Europe,soil,0,93533,93533,forest,2.3,1377,NA_,2016,2016,1
3829,Mikryukov_2021_SP,fITS7/ITS4,59.827,56.85,Asia,litter,0,57049,57049,forest,1.7,519,5.005,2017,2017,1
3833,Mikryukov_2021_SP,fITS7/ITS4,59.863,56.848,Asia,litter,0,63627,63627,forest,1.6,512,4.825,2017,2017,9
3842,Merges_2018_DD53,ITS3_KYO2/ITS4_KYO3,9.85306,46.7346,Europe,soil,0,46962,46962,forest,0.8,1044,4.61,2015,2015,5
3860,Anslan_2018_AB3E,gITS7/ITS4ngs,26.556,58.3698,Europe,topsoil,0,69306,69306,forest,5.7,619,NA_,2013,2013,1
3864,Odriozola_2020_GA,gITS7/ITS4,16.7774,49.3108,Europe,root,0,10881,10881,forest,7.6,658,NA_,2014,2014,39
3865,Mikryukov_2021_SP,fITS7/ITS4,59.863,56.848,Asia,litter,0,90385,90385,forest,1.6,512,4.98,2017,2017,6
3870,Odriozola_2020_GA,gITS7/ITS4,16.7774,49.3108,Europe,rhizosphere soil,0,4431,4431,forest,7.6,658,4.6,2014,2014,101
3875,Odriozola_2020_GA,gITS7/ITS4,16.7739,49.3186,Europe,root,0,8358,8358,forest,7.6,659,NA_,2014,2014,1
3878,Anslan_2018_AB3E,gITS7/ITS4ngs,26.5866,58.418,Europe,topsoil,0,61669,61669,forest,5.6,641,NA_,2015,2015,1
3880,Odriozola_2020_GA,gITS7/ITS4,16.7588,49.3326,Europe,root,0,13189,13189,forest,7.9,634,NA_,2014,2014,1
3892,Odriozola_2021_QY,gITS7/ITS4,13.8968,48.8593,Europe,litter,0,19291,19291,forest,7,809,4.65,2016,2016,2
3923,Montagna_2018_E316,ITS1F/ITS4,9.63818,46.0953,Europe,soil,582318,102081,684399,grassland,2.9,1812,3.5,2014,2014,3
4156,Li_2021_mDU,fITS9/ITS4,-85.37,42.38,North America,soil,0,156061,156061,grassland,9.2,881,6.35,2015,2015,1
4383,Bissett_AAAA_2016,ITS1F/ITS4,148.285,-42.173,Australia,soil,1023670,36245,1059915,forest,13.3,719,5.7,2013,2013,2
4704,Schutte_2019_CC10,gITS7/NLC2mod,-148.28,64.71,North America,soil,0,236169,236169,forest,-0.9,332,NA_,2012,2012,4
